year,province,energy_total,es
2015,上海,6988.505088,0.197134
2015,云南,5540.008899,0.655122
2015,内蒙古,10097.075529,0.710443
2015,北京,3575.801168,0.129662
2015,吉林,5914.703004,0.531175
2015,四川,10839.020089,0.522044
2015,天津,5061.616855,0.352845
2015,宁夏,2468.468181,0.747127
2015,安徽,7178.313072,0.635111
2015,山东,19598.764597,0.549687
2015,山西,9239.82887,0.748771
2015,广东,13569.866041,0.308978
2015,广西,5479.893149,0.532853
2015,新疆,6026.936943,0.456498
2015,江苏,14366.142169,0.518265
2015,江西,4988.311168,0.645211
2015,河北,18585.002812,0.780781
2015,河南,11201.424628,0.603864
2015,浙江,9100.150817,0.313492
2015,海南,854.782869,0.157646
2015,湖北,10033.885486,0.56174
2015,湖南,9321.698837,0.600607
2015,甘肃,3647.68123,0.561332
2015,福建,5991.848245,0.432231
2015,贵州,5646.604543,0.750977
2015,辽宁,13999.885341,0.431705
2015,重庆,4651.221741,0.569452
2015,陕西,5962.74841,0.667328
2015,青海,1361.217316,0.588829
2015,黑龙江,7617.686034,0.483213
2016,上海,7116.664819,0.174218
2016,云南,5789.160527,0.652416
2016,内蒙古,10469.125013,0.69972
2016,北京,3431.237397,0.10683
2016,吉林,5629.586549,0.520336
2016,四川,10395.892916,0.472125
2016,天津,5007.303586,0.32333
2016,宁夏,2553.453954,0.722664
2016,安徽,7176.200864,0.621926
2016,山东,18668.541747,0.488127
2016,山西,9457.123244,0.745124
2016,广东,14052.838636,0.279378
2016,广西,5777.675516,0.544173
2016,新疆,7026.694795,0.455233
2016,江苏,14572.796813,0.507509
2016,江西,4984.387283,0.634404
2016,河北,18707.520749,0.768715
2016,河南,11037.779048,0.555277
2016,浙江,8838.589674,0.281813
2016,海南,884.428706,0.176784
2016,湖北,9874.938819,0.568194
2016,湖南,9668.773814,0.606065
2016,甘肃,3536.107981,0.545396
2016,福建,5906.566239,0.432579
2016,贵州,5704.776762,0.725422
2016,辽宁,13334.438415,0.397353
2016,重庆,4531.700595,0.499472
2016,陕西,5657.448623,0.650342
2016,青海,1486.365626,0.545758
2016,黑龙江,7778.673326,0.503521
2017,上海,7106.107942,0.146469
2017,云南,5877.784775,0.639257
2017,内蒙古,10044.383142,0.662252
2017,北京,3441.510579,0.065384
2017,吉林,5362.189058,0.448883
2017,四川,10507.5569,0.452872
2017,天津,4703.465984,0.290613
2017,宁夏,3057.731609,0.762191
2017,安徽,7133.967939,0.584461
2017,山东,17913.097961,0.470197
2017,山西,9305.964461,0.718163
2017,广东,13775.958336,0.262761
2017,广西,6025.868949,0.5196
2017,新疆,7615.179337,0.466709
2017,江苏,14507.199363,0.495027
2017,江西,5115.206581,0.625787
2017,河北,17976.363396,0.760658
2017,河南,10764.879526,0.522934
2017,浙江,8571.554761,0.236677
2017,海南,893.207783,0.186024
2017,湖北,10003.782522,0.555348
2017,湖南,10091.421886,0.640925
2017,甘肃,3450.289375,0.512313
2017,福建,5983.709674,0.409222
2017,贵州,5669.737577,0.70894
2017,辽宁,13606.981526,0.387
2017,重庆,4487.680119,0.50814
2017,陕西,5490.191074,0.627222
2017,青海,1375.657431,0.453211
2017,黑龙江,7986.612535,0.495075
2018,上海,6463.791699,0.169217
2018,云南,6268.858541,0.625212
2018,内蒙古,11776.424303,0.682437
2018,北京,3468.653736,0.02336
2018,吉林,4454.480248,0.403528
2018,四川,8490.988199,0.461154
2018,天津,4459.15459,0.306386
2018,宁夏,3353.849325,0.736622
2018,安徽,6817.106477,0.558711
2018,山东,18606.154307,0.428802
2018,山西,8738.897517,0.714905
2018,广东,14200.254388,0.237961
2018,广西,5247.0877,0.527995
2018,新疆,7486.321092,0.424543
2018,江苏,14330.465053,0.463867
2018,江西,5040.185894,0.584898
2018,河北,20303.872867,0.743461
2018,河南,9906.444975,0.492992
2018,浙江,8120.166483,0.218706
2018,海南,947.846296,0.187429
2018,湖北,9401.945021,0.491204
2018,湖南,9124.12381,0.574475
2018,甘肃,3372.473228,0.478953
2018,福建,5900.447791,0.421547
2018,贵州,5245.348186,0.637805
2018,辽宁,13542.752404,0.397106
2018,重庆,3744.874678,0.532485
2018,陕西,5513.513726,0.594219
2018,青海,1370.676582,0.459807
2018,黑龙江,6410.710362,0.457169
2019,上海,6777.828995,0.165183
2019,云南,6482.097985,0.612325
2019,内蒙古,12776.7937,0.682728
2019,北京,3502.941997,0.017466
2019,吉林,4496.98714,0.420103
2019,四川,8597.00315,0.443406
2019,天津,4674.660101,0.301366
2019,宁夏,3729.951285,0.698867
2019,安徽,6817.011795,0.552988
2019,山东,19696.870456,0.425102
2019,山西,9134.672731,0.709648
2019,广东,14268.322211,0.255673
2019,广西,5277.034897,0.518402
2019,新疆,7667.479326,0.415312
2019,江苏,15054.266128,0.489943
2019,江西,5116.226276,0.569348
2019,河北,18855.146353,0.768962
2019,河南,9859.144899,0.465082
2019,浙江,8103.039652,0.221816
2019,海南,1033.452442,0.169153
2019,湖北,9645.251934,0.463574
2019,湖南,9313.28661,0.552167
2019,甘肃,3383.069306,0.481556
2019,福建,6324.233122,0.397537
2019,贵州,5283.617536,0.626201
2019,辽宁,14567.96124,0.386494
2019,重庆,3541.060358,0.472524
2019,陕西,5766.097677,0.586103
2019,青海,1402.014004,0.458795
2019,黑龙江,6904.566209,0.471438
2020,上海,6278.132077,0.168348
2020,云南,6729.912323,0.600996
2020,内蒙古,13499.573966,0.678605
2020,北京,2966.336605,0.016131
2020,吉林,4329.979368,0.379921
2020,四川,8096.170483,0.431888
2020,天津,4526.283423,0.31516
2020,宁夏,4050.061209,0.682608
2020,安徽,7411.642582,0.569246
2020,山东,20366.424951,0.436013
2020,山西,8986.260514,0.727859
2020,广东,13954.211496,0.260043
2020,广西,5873.591072,0.574216
2020,新疆,7567.131541,0.399491
2020,江苏,14508.81839,0.47026
2020,江西,4942.242687,0.568331
2020,河北,19093.038712,0.757975
2020,河南,10373.633801,0.481938
2020,浙江,10040.608286,0.18337
2020,海南,983.473849,0.160417
2020,湖北,9021.591384,0.471618
2020,湖南,9367.178068,0.548691
2020,甘肃,3498.395329,0.47715
2020,福建,6238.30499,0.370228
2020,贵州,5274.580127,0.607824
2020,辽宁,16068.153761,0.372547
2020,重庆,3672.622916,0.49281
2020,陕西,5818.440336,0.611981
2020,青海,1310.600463,0.451193
2020,黑龙江,6825.302459,0.392217
2021,上海,6331.025977,0.167026
2021,云南,6507.879959,0.589835
2021,内蒙古,13048.362081,0.62596
2021,北京,3081.776297,0.010793
2021,吉林,4164.722374,0.36032
2021,四川,8041.444255,0.416896
2021,天津,4327.692031,0.275908
2021,宁夏,3984.815956,0.728505
2021,安徽,7475.140786,0.542495
2021,山东,21991.447408,0.39127
2021,山西,9135.949403,0.723312
2021,广东,13257.979518,0.219134
2021,广西,5907.026378,0.581105
2021,新疆,8432.523378,0.38471
2021,江苏,14510.965224,0.454409
2021,江西,4735.234263,0.557319
2021,河北,17985.274321,0.6994
2021,河南,10699.134577,0.454921
2021,浙江,10104.85602,0.197855
2021,海南,1100.704808,0.152419
2021,湖北,9934.411079,0.456191
2021,湖南,9493.31457,0.437257
2021,甘肃,3543.790008,0.465294
2021,福建,6696.967312,0.349494
2021,贵州,5280.16189,0.529668
2021,辽宁,15975.300542,0.359112
2021,重庆,3611.685535,0.443275
2021,陕西,6237.467107,0.604565
2021,青海,1492.813059,0.468689
2021,黑龙江,7293.165382,0.360755
2022,上海,5600.740763,0.194363
2022,云南,6244.474075,0.56208
2022,内蒙古,13395.770687,0.613693
2022,北京,2725.955566,0.009457
2022,吉林,3670.511102,0.362193
2022,四川,7676.778122,0.375767
2022,天津,4249.394897,0.266698
2022,宁夏,4404.977203,0.673265
2022,安徽,7172.739074,0.531643
2022,山东,25056.899786,0.321672
2022,山西,9466.147609,0.640645
2022,广东,12665.71443,0.230586
2022,广西,6184.616412,0.557263
2022,新疆,8468.013217,0.36253
2022,江苏,14558.407952,0.452654
2022,江西,4886.285254,0.555737
2022,河北,17780.785326,0.700185
2022,河南,11626.218631,0.467389
2022,浙江,11758.186663,0.145712
2022,海南,1070.013415,0.140349
2022,湖北,10180.744055,0.482301
2022,湖南,9311.171979,0.436644
2022,甘肃,3681.693326,0.436961
2022,福建,7418.255735,0.327747
2022,贵州,4985.94669,0.491823
2022,辽宁,16150.448278,0.355418
2022,重庆,3426.308701,0.437887
2022,陕西,7020.100949,0.570697
2022,青海,1525.17225,0.444119
2022,黑龙江,6891.78766,0.340855
