province,capital,source_level,source_name,adcode,center_lon,center_lat,centroid_lon,centroid_lat
上海,上海市,province,上海市,310000,121.472644,31.231706,121.438737,31.072559
云南,昆明市,city,昆明市,530100,102.712251,25.040609,102.87442,25.387092
内蒙古,呼和浩特市,city,呼和浩特市,150100,111.670801,40.818311,111.50328,40.597159
北京,北京市,province,北京市,110000,116.405285,39.904989,116.41995,40.18994
吉林,长春市,city,长春市,220100,125.3245,43.886841,125.593273,44.290795
四川,成都市,city,成都市,510100,104.065735,30.659462,103.931804,30.652329
天津,天津市,province,天津市,120000,117.190182,39.125596,117.347043,39.288036
宁夏,银川市,city,银川市,640100,106.278179,38.46637,106.347233,38.2883
安徽,合肥市,city,合肥市,340100,117.283042,31.86119,117.360447,31.762594
山东,济南市,city,济南市,370100,117.000923,36.675807,117.221211,36.640013
山西,太原市,city,太原市,140100,112.549248,37.857014,112.322147,37.960573
广东,广州市,city,广州市,440100,113.280637,23.125178,113.544372,23.329249
广西,南宁市,city,南宁市,450100,108.320004,22.82402,108.467546,23.055985
新疆,乌鲁木齐市,city,乌鲁木齐市,650100,87.617733,43.792818,87.783748,43.739398
江苏,南京市,city,南京市,320100,118.767413,32.041544,118.847868,31.927726
江西,南昌市,city,南昌市,360100,115.892151,28.676493,116.023468,28.647424
河北,石家庄市,city,石家庄市,130100,114.502461,38.045474,114.444982,38.133034
河南,郑州市,city,郑州市,410100,113.665412,34.757975,113.477391,34.626256
浙江,杭州市,city,杭州市,330100,120.153576,30.287459,119.476498,29.898918
海南,海口市,city,海口市,460100,110.33119,20.031971,110.422966,19.852113
湖北,武汉市,city,武汉市,420100,114.298572,30.584355,114.348204,30.623025
湖南,长沙市,city,长沙市,430100,112.982279,28.19409,113.158697,28.224232
甘肃,兰州市,city,兰州市,620100,103.823557,36.058039,103.644112,36.355083
福建,福州市,city,福州市,350100,119.306239,26.075302,119.200519,26.047886
贵州,贵阳市,city,贵阳市,520100,106.713478,26.578343,106.711127,26.84011
辽宁,沈阳市,city,沈阳市,210100,123.429096,41.796767,123.143796,42.100641
重庆,重庆市,province,重庆市,500000,106.504962,29.533155,107.8839,30.067297
陕西,西安市,city,西安市,610100,108.948024,34.263161,108.797426,34.10671
青海,西宁市,city,西宁市,630100,101.778916,36.623178,101.438463,36.827772
黑龙江,哈尔滨市,city,哈尔滨市,230100,126.642464,45.756967,127.966759,45.648633
